"Letzte Änderung: 16.6.2026, 19:16:34",Aktionspackung,,,abgelaufen,,,,,,,,,,
,Aktionssticker / Etikett / Coupon,,,weniger als 7 Tage,,,,,,,,,,
Produktbild,Aktionsbeschreibung,Kontingent,Zeitpunkt,Aktions- ende,Einsende- schluss,Einreichungs- frist (nach Kauf),Art der Teilnahme,Begründung / Feedback,Art des Kaufbeleges,SMS Bestätigung,Aktionsseite / Aktionshinweis,mydealz Link,abwickelnde Agentur & Zahlungsdienstleister,Hinzu- gefügt
,always Ultra Binden Big Pack,-,-,31.05.2026,15.06.2026,-,,nein,Foto,ja,https://www.for-me-online.de/always-cashback,https://www.mydealz.de/2739963,JustSnap GmbH,03.03.2026
,"LENOR Waschmittel (Flüssig, Pulver oder All-in-1 PODS)",-,-,15.06.2026,30.06.2026,,,nein,Foto,ja,https://www.for-me-online.de/lenor-waschmittel,https://www.mydealz.de/2724521,JustSnap GmbH,07.02.2026
,LENOR Wäscheparfüm 155gr (Aprilfrisch oder Frische Baumwollblüte oder Unstoppables Fresh),-,-,15.06.2026,30.06.2026,,,nein,Foto,ja,https://www.for-me-online.de/lenor-wascheparfum,https://www.mydealz.de/2724521,JustSnap GmbH,07.02.2026
,"Centrum BIOTIC+ IMMUN oder VITAL oder ALL-IN-ONE
nur bei dm-drogerie markt",10.000 Teilnehmer insgesamt - wechselndes wöchentliches Kontingent,Montags ab 08:00 Uhr,"30.04.2026

15.06.2026","30.05.2026

15.07.2026",mindestens 30 Tage testen,,nein,Foto/Scan,ja,https://www.erlebe-haleon.de/deals/centrum/,https://www.mydealz.de/2741402,"Baudek & Schierhorn Shopper Marketing GmbH
Zahlungsdienstleister: finXP Limited",03.03.2026
,TENA Produkte für Frauen & Männer,50.000 Teilnehmer insgesamt,-,"31.05.2026

21.06.2026","31.05.2026

21.06.2026",bis zur Erreichung des Teilnehmerlimits,,nein,Foto/Scan,nein,https://try.tena.com/de/aktionen/gratis-testen/,https://www.mydealz.de/2700642,"CH Couponing House GmbH 
Zahlungsdienstleister: secupay AG",03.01.2026
,NIVEA Derma Control Clinical Deo,4.000 Teilnehmer pro Tag,täglich ab 04:00 Uhr,21.06.2026,05.07.2026,-,Begründung,nein,Foto,nein,https://www.nivea.de/gratisdeo,https://www.mydealz.de/2782467,JustSnap GmbH,19.05.2026
,"Desperados Tropical Daiquiri Bier-Mixgetränk
330ml Flasche oder 500ml Dose",15.000 Teilnehmer insgesamt,-,28.06.2026,05.07.2026,bis zur Erreichung des Teilnehmerlimits,,nein,Foto/Scan,nein,https://www.desperados.com/de/de/gratistesten/,https://www.mydealz.de/2766180,"caspar company GmbH
Zahlungsdienstleister: Continental Payment GmbH",20.04.2026
,"PURINA Gourmet Revelations Katzennahrungsprodukte
min. zwei Produkte - max. 6,58€ Erstattung",Es wird ein Gesamtbetrag von 65.800€ ausgeschüttet.,-,28.06.2026,12.07.2026,bis zur Erreichung des Teilnehmerlimits,nein,nein,Foto/Scan,nein,https://www.purina.de/aktion/gourmet,https://www.mydealz.de/2772290,"Baudek & Schierhorn Shopper Marketing GmbH
Zahlungsdienstleister: finXP Limited",30.04.2026
,KELLOGS Cheez-it Double Cheese oder Cheese & Chili 120gr,7.500 Teilnehmer pro Woche,-,30.06.2026,30.06.2026,-,,nein,Foto/Scan,nein,https://cheezit-aktion.de/,https://www.mydealz.de/2617136,"IMPLIZIT GmbH
Zahlungsdienstleister: secupay AG",15.08.2025
,"HENGSTENBERG Salate to Go
- CousCousSalat Pflaume, Paprika und Ingwer
- Bulgur Tomate & Karotte
- Bulgur rote Beete, Senfsaat & Dill",unbekanntes (monatliches) Budget,,30.06.2026,30.06.2026,bis zur Erreichung des Teilnehmerlimits,,nein,Foto/Scan,nein,https://www.salate-to-go.de,https://www.mydealz.de/2776857,"Viva Marketing GmbH
Zahlungsdienstleister: secupay AG",12.05.2026
,"tetesept Melatonin Einschlaf-Spray 2,0 mg

max. 7,99€ Erstattung",16.863 Teilnehmer insgesamt,-,30.06.2026,07.07.2026,bis zur Erreichung des Teilnehmerlimits,nein,nein,Foto/Scan,nein,https://tetesept-aktion.de/melatoninspray,https://www.mydealz.de/2790515,SAVI Marketing GmbH,05.06.2026
,NESCAFÉ frappé ᵀʸᵖ Eiskaffee,60.000 Teilnehmer insgesamt,-,30.06.2026,15.07.2026,bis zur Erreichung des Teilnehmerlimits,,nein,Foto/Scan,nein,https://www.nescafe.com/de/unsere-aktionen/frappe-gratis-testen,https://www.mydealz.de/2743054,"Baudek & Schierhorn Shopper Marketing GmbH
Zahlungsdienstleister: finXP Limited",06.03.2026
,"SOMAT Power Gel all in 1 (67 AW) oder 
Excellence Premium 5in1 Gel Power & Perls (60 AW)",1.208 Teilnahmen täglich - 373.272 Teilnahmen insgesamt,täglich ab 09:00 Uhr,30.06.2026,15.07.2026,-,,nein,Foto/Scan,nein,https://gratis.testen.somat.de,https://www.mydealz.de/2755020,"acardo group AG
Zahlungsdienstleister: Novalnet AG",27.03.2026
,"WHISKAS Katzennahrungsprodukte
max. 5€ Erstattung",1.000 Teilnehmer pro Woche,stündlich neue Kontingente zwischen 07:00 und 22:00 Uhr,01.07.2026,01.07.2026,-,,nein,Foto/Scan,nein,https://purrorpass.whiskas.de/aktion/de-de/claim/enter/,https://www.mydealz.de/2717239,"BE:TWO GmbH / VCG - The PromoRisk People Ltd
Zahlungsdienstleister: Musalek Werbeservice GmbH",15.01.2026
,"Anheuser-Busch BUD
- Flaschen Sixpack 6x0.3l, max. 8,50€
- Einzelflasche 0.3L, max. 2,00€
- Dosen Sixpack 6x0.33L, max. 7,50€
- Einzeldose 0.33L, max. 2,50€
- Einzeldose 0.5L, max. 2,50€",-,-,19.07.2026,19.07.2026,-,,nein,Foto/Scan,nein,https://scan.anheuser-busch-bud.de/qr/c29d91/landing,https://www.mydealz.de/2776393,Zahlungsdienstleister: Novalnet AG,07.05.2026
,"VITA COLA Cola 1.5l EW 
Original oder Original zuckerfrei oder PUR
(nur in ausgewählten Bundesländern)",300 Teilnehmer täglich,täglich ab 00:00 Uhr,31.07.2026,31.07.2026,-,nein,Feedback,Foto/Scan,nein,https://www.vitacola-cashback.de/,https://www.mydealz.de/2769931,"REINBOLDROST GmbH & Co. KG
Zahlungsdienstleister: secupay AG",29.04.2026
,"Soda Libre The Classics Lemonade 
Zitrone und/oder Orange
min. zwei 0.33L Dosen in einem Einkauf
max. 2,18€ Erstattung",-,-,31.07.2026,07.08.2026,-,,nein,Foto/Scan,nein,https://www.sodalibre-gratistesten.de ,https://www.mydealz.de/2733998,"caspar company GmbH
Zahlungsdienstleister: Continental Payment GmbH",03.03.2026
,"WASA Selection Knäcke
- Protein+ 200g
- Mohn & Meersalz 245g
- Chia & Meersalz 245g
max. 2,49€ Erstattung",40.000 Teilnehmer insgesamt,-,31.07.2026,31.07.2026,,,nein,Foto/Scan,nein,https://www.wasa.com/de-de/aktionen/active/gratistesten-selection/,https://www.mydealz.de/2739267,"REINBOLDROST GmbH & Co. KG
Zahlungsdienstleister: savi marketing GmbH",03.03.2026
,"WASA Crunchy Bites
- Sour Cream & Onion 100g 
- Cheddar 100g
max. 2,19€ Erstattung",40.000 Teilnehmer insgesamt,-,31.07.2026,31.07.2026,,,nein,Foto/Scan,nein,https://www.wasa.com/de-de/aktionen/active/gratistesten-crunchybites/,https://www.mydealz.de/2761516,"REINBOLDROST GmbH & Co. KG
Zahlungsdienstleister: savi marketing GmbH",03.03.2026
,"Bad Liebenwerda Mineralwasser+ Limette-Minze 
0.75L Glasflasche",-,-,31.07.2026,31.07.2026,-,,nein,Foto/Scan,nein,https://www.bad-liebenwerda-cashback.de,https://www.mydealz.de/2772853,"Viva Marketing GmbH
Zahlungsdienstleister: secupay AG",05.05.2026
,"Cillit Bang Expert Kraftreiniger
- Kalk & Schmutz 750ml oder
- Bad & Dusche 750ml oder 1000ml",250 Teilnahmen täglich - 12.000 Teilnahmen insgesamt,täglich ab 09:00 Uhr,31.07.2026,31.07.2026,bis zur Erreichung des Teilnehmerlimits,,nein,Foto,ja,https://www.cillitbang-gratis-testen.de,https://www.mydealz.de/2774776,JustSnap GmbH,05.05.2026
,"Calgon 4in1 Wasserenthärter Gel 750ml 
max. 4,99€ Erstattung","Mai: 400 Teilnehmer täglich, Juni: 250 Teilnehmer täglich, Juli: 150 Teilnehmer täglich - 25.000 Teilnehmer insgesamt",täglich ab 09:00 Uhr,31.07.2026,31.07.2026,-,,nein,Foto,ja,https://calgon-gratis-testen.de,https://www.mydealz.de/2774857,JustSnap GmbH,05.05.2026
,"Teinacher Mineralwasser+ Kiste 0,75l 
(nur lokale Verfügbarkeit!)
max. 10€ Erstattung",unbekanntes (monatliches) Budget,,31.07.2026,31.07.2026,bis zur Erreichung des Teilnehmerlimits,nein,nein,Foto/Scan,nein,https://www.teinacher-cashback.de,https://www.mydealz.de/2788544,"Viva Marketing GmbH
Zahlungsdienstleister: secupay AG",02.06.2026
,"COTTONELLE Feuchtes Toilettenpapier 
Ultimativ Frisch 42 Tücher
max. 1,79€ Erstattung","604 Teilnehmer pro Tag - 
36.871 Teilnehmer insgesamt",täglich ab 08:00 Uhr,31.07.2026,15.08.2026,-,nein,nein,Foto/Scan,nein,https://cottonelle-aktion.de/cashback,https://www.mydealz.de/2788354,SAVI Marketing GmbH,02.06.2026
,always Discreet Inkontinenz Maxi,-,-,31.07.2026,15.09.2026,-,,nein,Foto,ja,https://www.for-me-online.de/always-discreet,https://www.mydealz.de/2757299,JustSnap GmbH,01.04.2026
,Ben's Original Street Food Fertiggerichte ,"500 Teilnehmer pro Tag - 
38.500 Teilnehmer insgesamt",täglich ab 09:00 Uhr,02.08.2026,02.08.2026,-,Online- Teilnahme,nein,Foto,nein,https://bens-streetfood-gratis-testen.de,https://www.mydealz.de/2780510,"acardo group AG
Zahlungsdienstleister: Novalnet AG",19.05.2026
,"FELIX Doppelt Lecker Katzennahrungsprodukte
1x Trockenprodukt & 1x Nassprodukt kaufen
max. 7€ Erstattung

ab 22.06.26",Gesamtbudget: 65.000€,-,02.08.2026,09.08.2026,bis zur Erreichung des Teilnehmerlimits,Online- Teilnahme,nein,Foto/Scan,nein,https://www.purina.de/felix/testen,https://www.mydealz.de/2788993,"Baudek & Schierhorn Shopper Marketing GmbH
Zahlungsdienstleister: finXP Limited",04.06.2026
,"Zott Pure Joy Joghurtalternative
bis zu zwei Produkte pro Person 
pro Haushalt bis zu drei Mal möglich
pro zwei Artikel max. 1,98€ Erstattung",1.111 Teilnahmen pro Woche - 28.886 Teilnahmen insgesamt,montags ab 09:00 Uhr,31.08.2026,31.08.2026,-,,nein,Foto/Scan,nein,https://purejoy-gratis-testen.de,https://www.mydealz.de/2741802,"Baudek & Schierhorn Shopper Marketing GmbH
Zahlungsdienstleister: finXP Limited",03.03.2026
,Deli Reform Omega-3 Daily rein pflanzliche Halbfettmagerine,"100 Teilnehmer pro Tag
9.000 Teilnehmer insgesamt",täglich ab 08:00 Uhr,31.08.2026,31.08.2026,,,nein,Foto/Scan,nein,https://www.deli-gratis-testen.de,https://www.mydealz.de/2785453,"REINBOLDROST GmbH & Co. KG
Zahlungsdienstleister: savi marketing GmbH",01.06.2026
,CD Antitranspirant Pure & Protect,50.000 Teilnehmer insgesamt,-,31.08.2026,31.08.2026,bis zur Erreichung des Teilnehmerlimits,,nein,Foto/Scan,nein,https://www.cd-gratis-testen.de/,https://www.mydealz.de/2793663,"Viva Marketing GmbH
Zahlungsdienstleister: secupay AG",11.06.2026
,"WC-Ente Frische-Siegel Halter

ab 13.7 exklusiv bei dm-drogerie markt
ab 20.7. bei allen anderen Händlern ","714 Teilnehmer pro Tag
40.000 Teilnehmer insgesamt",täglich ab 7:00 Uhr,05.09.2026,13.09.2026,-,Online- Teilnahme,nein,Foto/Scan,nein,https://wc-ente-aktion.com,https://www.mydealz.de/2780564,SAVI Marketing GmbH,19.05.2026
,"Zott Monte Ice Cream
max. 5,49€ Erstattung - per wöchentlicher Auslosung!",200 Teilnehmer pro Woche - 5.000 Erstattungen insgesamt,montags ab 00:00 Uhr,28.09.2026,28.09.2026,-,,nein,Foto/Scan,nein,https://monte-eis-testen.de,https://www.mydealz.de/2737030,"Baudek & Schierhorn Shopper Marketing GmbH
Zahlungsdienstleister: finXP Limited",08.04.2026
,KÜHNE Spice it up Würzsaucen 90ml,10.000 Teilnehmer insgesamt,-,31.12.2026,31.12.2026,bis zur Erreichung des Teilnehmerlimits,,nein,Foto/Scan,nein,https://kassenbon-aktion.de/spice-it-up,https://www.mydealz.de/deals/gzg-kuhne-spice-it-up-wurzsauce-gratis-testen-2764431,"IMPLIZIT GmbH
Zahlungsdienstleister: secupay AG",14.04.2026
,ROYAL CANIN Tiernahrung,-,-,31.12.2026,31.12.2026,-,,Begründung,Foto/Scan,nein,https://www.royalcanin.com/de/about-us/acceptance-guarantee,https://www.mydealz.de/2571752,Kjero GmbH,12.03.2026
,"ROCKSTAR Mocktail 0,33l EW Dose
drei Teilnahmen pro Teilnehmer möglich
pauschale Erstattung von 1,19€ (exkl. Pfand)",2.500 Einlösungen pro Woche - 100.000 insgesamt,-,30.06.2026,28.02.2027,-,nein,nein,nur Code,nein,https://www.rockstarenergy.de/mocktails-aktion,https://www.mydealz.de/2790687,"G.V.K. mbH
caspar company GmbH
Zahlungsdienstleister: secupay AG",05.06.2026
,"PLATINUM Hundefutter
Rückgabe bei Nichtgefallen 
kostenlose Abholung",-,-,Daueraktion,-,max. 100 Tage,,Begründung,Original,nein,https://www.platinum.com/Geld-zurueck-Garantie/,,PLATINUM GmbH & Co. KG,23.04.2015
,"odaban® Spray | Gel | Fußpuder
Rückgabe bei Nichtgefallen 
ohne Versandkosten- Erstattung!",-,-,Daueraktion,-,max. 60 Tage,,Begründung,Original,nein,https://odaban.de/pages/geld-zuruck-garantie,,Guthy-Renker International GmbH,
,"O'Keefe's Pflegeprodukte
Rückgabe bei Nichtgefallen
ohne Versandkosten- Erstattung!",-,-,Daueraktion,-,-,,Begründung,Original,nein,https://www.okeeffesco.de/,,Kaufmann Neuheiten GmbH,
,"RASCALS Babywindeln 
Erstattung oder Austausch bei Unzufriedenheit",-,-,Daueraktion,-,max. 30 Tage,,Begründung,Foto/Scan,nein,https://www.rascalsbaby.com/de-de/money-back-guarantee,https://www.mydealz.de/2572263,Rascals International Limited,22.05.2025
,► Weitere Geld-zurück-Aktionen mit anteiligem Cashback findet ihr im nächsten Tabellenblatt!,,,,,,,,,,,,,
,Alle Angaben ohne Gewähr!,,,,,,,,,,,,,
,Fehler oder weitere Aktion entdeckt?,,,,,,,,,,,,,
,► Sammelthread auf mydealz,,,,,,,,,,,,,
,► PN an CashBackBär oder TheNittyGritty,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,► Bereits abgelaufene Aktionen befinden sich in dieser separaten Tabelle achiviert.,,,,,,,,,,,,,